,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-11-10 16:18:29,BPC - The Owl > Home,2289998,editable_area,sabsandhu,225,32,0
2014-11-10 16:18:37,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2290003,abi_report,sabsandhu,1557,32,7102
2014-11-10 16:19:46,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2290025,abi_report,sabsandhu,1557,32,7108
2014-11-10 16:20:57,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,2290047,abi_report,sabsandhu,1557,32,7117
2014-11-10 16:26:49,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2290127,abi_report,sabsandhu,1557,32,7111
2014-11-10 16:32:48,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2290264,abi_report,sabsandhu,1557,32,7111
2014-11-10 16:46:28,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2290507,abi_report,sabsandhu,1557,32,7111
2014-11-10 17:05:28,BPC - The Owl > Home,2290710,editable_area,sabsandhu,225,32,0
2014-11-10 17:05:35,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2290712,abi_report,sabsandhu,1557,32,7102
2014-11-10 17:09:03,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2290758,abi_report,sabsandhu,1557,32,7111
2014-11-10 17:37:29,BPC - The Owl > Home,2291119,editable_area,sabsandhu,225,32,0
2014-11-10 17:38:15,BPC - The Owl > Home,2291131,editable_area,sabsandhu,225,32,0
2014-11-10 17:38:21,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2291134,abi_report,sabsandhu,1557,32,7102
2014-11-10 17:38:29,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2291135,abi_report,sabsandhu,1557,32,7111
